,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,Draft_Yr
75,Utah,From Miami:  Future 1st Round Draft Pick (TBA),Miami,From Utah:  Martin Muursepp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1996
76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1997
77,1997 Draft Day Trades  Trades between teams sent and received  Dallas From Portland:  Chris Anstey  Cash Considerations Portland From Dallas:  Kelvin Cato Milwaukee From Denver:  Ervin Johnson Denver From Milwaukee:  Danny Fortson  Johnny Newman  Joe Wolf Philadelphia From LA Clippers:  Future 2nd Round Pick (TBA) LA Clippers From Philadelphia:  James Collins New Jersey From Philadelphia:  Don MacLean  Keith Van Horn  Lucious Harris  Michael Cage  Philadelphia From New Jersey:  Jimmy Jackson  Eric Montross  Tim Thomas  Anthony Parker Denver From Orlando:  Eric Washington  Future 2nd Round Pick (1999) Orlando From Denver:  Jason Lawson Vancouver From Portland:  Cash Considerations Portland From Vancouver:  C.J. Bruton Seattle From Denver:  James Cotton  2nd Round Draft Pick (1998) Denver From Seattle:  Bobby Jackson,1997 Draft Day Trades  Trades between teams sent and received  Dallas From Portland:  Chris Anstey  Cash Considerations Portland From Dallas:  Kelvin Cato Milwaukee From Denver:  Ervin Johnson Denver From Milwaukee:  Danny Fortson  Johnny Newman  Joe Wolf Philadelphia From LA Clippers:  Future 2nd Round Pick (TBA) LA Clippers From Philadelphia:  James Collins New Jersey From Philadelphia:  Don MacLean  Keith Van Horn  Lucious Harris  Michael Cage  Philadelphia From New Jersey:  Jimmy Jackson  Eric Montross  Tim Thomas  Anthony Parker Denver From Orlando:  Eric Washington  Future 2nd Round Pick (1999) Orlando From Denver:  Jason Lawson Vancouver From Portland:  Cash Considerations Portland From Vancouver:  C.J. Bruton Seattle From Denver:  James Cotton  2nd Round Draft Pick (1998) Denver From Seattle:  Bobby Jackson,1997 Draft Day Trades,Trades between teams sent and received,Dallas,From Portland:  Chris Anstey  Cash Considerations,Portland,From Dallas:  Kelvin Cato,Milwaukee,From Denver:  Ervin Johnson,Denver,From Milwaukee:  Danny Fortson  Johnny Newman  Joe Wolf,Philadelphia,From LA Clippers:  Future 2nd Round Pick (TBA),LA Clippers,From Philadelphia:  James Collins,New Jersey,From Philadelphia:  Don MacLean  Keith Van Horn  Lucious Harris  Michael Cage,Philadelphia,From New Jersey:  Jimmy Jackson  Eric Montross  Tim Thomas  Anthony Parker,Denver,From Orlando:  Eric Washington  Future 2nd Round Pick (1999),Orlando,From Denver:  Jason Lawson,Vancouver,From Portland:  Cash Considerations,Portland,From Vancouver:  C.J. Bruton,Seattle,From Denver:  James Cotton  2nd Round Draft Pick (1998),Denver,From Seattle:  Bobby Jackson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1997
78,1997 Draft Day Trades  Trades between teams sent and received  Dallas From Portland:  Chris Anstey  Cash Considerations Portland From Dallas:  Kelvin Cato Milwaukee From Denver:  Ervin Johnson Denver From Milwaukee:  Danny Fortson  Johnny Newman  Joe Wolf Philadelphia From LA Clippers:  Future 2nd Round Pick (TBA) LA Clippers From Philadelphia:  James Collins New Jersey From Philadelphia:  Don MacLean  Keith Van Horn  Lucious Harris  Michael Cage  Philadelphia From New Jersey:  Jimmy Jackson  Eric Montross  Tim Thomas  Anthony Parker Denver From Orlando:  Eric Washington  Future 2nd Round Pick (1999) Orlando From Denver:  Jason Lawson Vancouver From Portland:  Cash Considerations Portland From Vancouver:  C.J. Bruton Seattle From Denver:  James Cotton  2nd Round Draft Pick (1998) Denver From Seattle:  Bobby Jackson,1997 Draft Day Trades,Trades between teams sent and received,Dallas,From Portland:  Chris Anstey  Cash Considerations,Portland,From Dallas:  Kelvin Cato,Milwaukee,From Denver:  Ervin Johnson,Denver,From Milwaukee:  Danny Fortson  Johnny Newman  Joe Wolf,Philadelphia,From LA Clippers:  Future 2nd Round Pick (TBA),LA Clippers,From Philadelphia:  James Collins,New Jersey,From Philadelphia:  Don MacLean  Keith Van Horn  Lucious Harris  Michael Cage,Philadelphia,From New Jersey:  Jimmy Jackson  Eric Montross  Tim Thomas  Anthony Parker,Denver,From Orlando:  Eric Washington  Future 2nd Round Pick (1999),Orlando,From Denver:  Jason Lawson,Vancouver,From Portland:  Cash Considerations,Portland,From Vancouver:  C.J. Bruton,Seattle,From Denver:  James Cotton  2nd Round Draft Pick (1998),Denver,From Seattle:  Bobby Jackson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1997
79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1997
80,1997 Draft Day Trades,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1997
81,Trades between teams sent and received,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1997
82,Dallas,From Portland:  Chris Anstey  Cash Considerations,Portland,From Dallas:  Kelvin Cato,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1997
83,Milwaukee,From Denver:  Ervin Johnson,Denver,From Milwaukee:  Danny Fortson  Johnny Newman  Joe Wolf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1997
84,Philadelphia,From LA Clippers:  Future 2nd Round Pick (TBA),LA Clippers,From Philadelphia:  James Collins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1997
85,New Jersey,From Philadelphia:  Don MacLean  Keith Van Horn  Lucious Harris  Michael Cage,Philadelphia,From New Jersey:  Jimmy Jackson  Eric Montross  Tim Thomas  Anthony Parker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1997
